État,Marque,Année,Adresse,Prix,Image
Venant,SYM,2023,"Fann Hock,
                                                                                Dakar",2 890 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9c68faac307756ac8345491024824c87/-/horizon-files-prod/ed/picture/q78wek4m/89d752b81b5abd48a076c22b7ac0555154508ae6.jpg
Venant,BMW,2020,"Dieuppeul,
                                                                                Dakar",3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/45cffa419b593362b7e86755584289d6/-/horizon-files-prod/ed/picture/q9mkkg07/b29b1d206559b33318b66da790ea904aed1c0dc7.jpg
Venant,BMW,2023,"Dieuppeul,
                                                                                Dakar",3 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0fc0ac451152fe54c9e68cae3f4f6a97/-/horizon-files-prod/ed/picture/q56p68j7/80312b963b6523442fcd8ab540c5ce54369e69e8.jpg
Venant,Piaggio,2023,"Hann maristes,
                                                                                Dakar",2 400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d42cf7b66128b8b073c407e344d42252/-/horizon-files-prod/ed/picture/q6xqqr7d/1af404658dd3afc0a7f96c002b67b1ca3127dd23.jpg
Venant,Hero Honda,2016,"Sicap Liberté,
                                                                                Dakar",1 150 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/be8fdda61629f6cd6edfd0af11b0e84c/-/horizon-files-prod/ed/picture/qkr77gxm/d5c66feaf854ad0a69ed2de66cb1a2635aeb5a6d.jpg
Venant,Honda,2018,"Fass,
                                                                                Dakar",1 250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/79f7c892cca28ce95b9e20e9d20b6276/-/horizon-files-prod/ed/picture/qm50gx0r/fcb3705c5ec775d70448298f41e83235ca1d5d30.jpg
Venant,Honda,2021,"Plateau,
                                                                                Dakar",600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/079f8f569932ad5a2bae5e99d0d05c99/-/horizon-files-prod/ed/picture/q78jwzvd/fb898ffbd6fcb02879dbad0f1ea9e033d2043ab3.jpg
Venant,Honda,2024,"Hann maristes,
                                                                                Dakar",1 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7c9528c79cd3440ed361febdd746532b/-/horizon-files-prod/ed/picture/qq4z2e76/9e4e464859b9ef8d8f7cf42a75b1abf980f35d31.jpg
Neuf,Yamaha,2023,"Liberte 6 extension,
                                                                                Dakar",1 850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4ed916b645050c253856ed00138b7013/-/horizon-files-prod/ed/picture/qrzr8x5j/95dd23ca969c01acc3c736745f33e5343ed964ef.jpg
Neuf,Autre,2025,"Virage,
                                                                                Dakar",849 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/df3c3691094d10635091806f9923a5d4/-/horizon-files-prod/ed/picture/q9mkj2ww/9a5c5a29dfa544dc9d3c631faf40cd506ad5ac8c.jpg
Venant,Kawasaki,2004,"Avenue Bourguiba,
                                                                                Dakar",1 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0a687dbce60d4ef34ccc1f594ef572cf/-/horizon-files-prod/ed/picture/q8vm42vx/883b9c4ef538e1103012235201d1a0a63d018641.jpg
D'occasion,Piaggio,2018,"Plateau,
                                                                                Dakar",225 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/da987a1dfe6d41a90ba83e22005064f8/-/horizon-files-prod/ed/picture/q56pdz86/811828d2323af2bbd2f6b14e834d26de23aabe58.jpg
D'occasion,Yamaha,2024,"Dalifort,
                                                                                Dakar",1 350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2fc11b5bc0d896b7393f03f7e4d8478c/-/horizon-files-prod/ed/picture/q6xqdmrp/88fe6037f0a60d009fd4f03300340fcf54d4f473.jpg
Venant,BMW,2011,"Golf,
                                                                                Dakar",2 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/264fc3387c64029e022a8c6d9c7f74ab/-/horizon-files-prod/ed/picture/q0gk7zwd/7de57fd7ca14d71eb90c6379fb1b7cb43f7d5fe5.jpg
D'occasion,Peugeot,2012,"Ouakam,
                                                                                Dakar",3 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/350c8a5426f83182a9537b4104fd79eb/-/horizon-files-prod/ed/picture/q78jw9zj/59abca9ad037ca54ce11076ecce9cb2b44f0eb2c.jpg
Venant,Yamaha,2020,"Patte d‘oie,
                                                                                Dakar",800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4f80086fb62ff9f9d9e49cd4539e2337/-/horizon-files-prod/ed/picture/q9mkjgj0/b698834b671608101321fff53847b851ae939dcc.jpg
