État,Marque,Année,Adresse,Prix,Image
Neuf,Autre,2024,"Castor,
                                                                                Dakar",2 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6e5f3717aa24b6b1499837f61f13360/-/horizon-files-prod/ed/picture/qgq9xnnq/bd9d37c70a3dc72e6022f9e75f17a6f86ada48c4.jpg
Neuf,TVS Motor,2024,"Castor,
                                                                                Dakar",800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3e4d02f21bd12ddf374b31b6ad83fc13/-/horizon-files-prod/ed/picture/qenqejn4/3c0647a81cb1fdd7042dbd0e30400c1288c56a59.jpg
Neuf,Lifan,2024,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/62d59417019c30d19bacebab5981d443/-/horizon-files-prod/ed/picture/qngxepeg/6e1f83c24e963cdf4fa6da4becbc846f3f482712.jpg
Neuf,Bajaj,2024,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a58a18d22b79409ddc409482f6bd4748/-/horizon-files-prod/ed/picture/qwe272ng/64f08b5938ec1cd4740407467fe6b5cc5eff11f8.png
Neuf,Lifan,2024,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13fc73d69cd3d951d38c594c8d02f617/-/horizon-files-prod/ed/picture/qngxex09/6f278f7064b69d65860d72d1c8c4f97b7edd555d.jpg
Neuf,Lifan,2024,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/abe1eef98989b09813f418bb81506549/-/horizon-files-prod/ed/picture/qenqkgk5/93a4a27d274c00760d7cbe57685ff5b877cc7bc4.jpg
Neuf,Bajaj,2024,"Sicap Liberté,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/794366790215de4ec009edf91e74835b/-/horizon-files-prod/ed/picture/q7854k0z/8fac781488b370aac0087f18f1d1ecba83723225.jpg
,,,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5c6aaf74c51981952c444a26ffb48c1e/-/horizon-files-prod/ed/picture/qzvd09nr/79e8b57a06c23bf011c94573cdf1ed86db794f95.jpg
Neuf,Autre,2024,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0afa4a0607a65fa969419a706d5cc890/-/horizon-files-prod/ed/picture/qv4ej4vk/c2b87188c62e7411f9d08ea861105cfee970d0c0.jpg
,,,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fe4ecefe96705b1ecbc7465e6da23294/-/horizon-files-prod/ed/picture/qv4ejenk/df8eaa55774c8c0e25e9277e2857a771bb27b7ce.png
Neuf,Bajaj,2024,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9f555e055dbde784cca112f143bf10f3/-/horizon-files-prod/ed/picture/q8v58w26/1c49a7ea56b5cc12e28baa1dbdcabd4c72bd7b2d.jpg
Neuf,Autre,2024,"Fass,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/96b19bfc701dd13a26ef34a24b19f84d/-/horizon-files-prod/ed/picture/qgq9kv80/4c5e38054f8afd4a356fff7ff3f8933a5e09af22.jpg
Neuf,Autre,2024,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2e44aac41de4a8889cf22b9964075a45/-/horizon-files-prod/ed/picture/qwe2jqqm/c78d5db344e784b36b074e0c0befb767ec5e5917.jpg
Neuf,Autre,2024,"Ouakam,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7cc70d3aeec6eb00682a534d02da9291/-/horizon-files-prod/ed/picture/qenqzw5z/0c89ad3c1e3381a94b64b4ab63a48bca9dfd5b03.jpg
Neuf,Autre,2024,"Ouakam,
                                                                                Dakar",350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc369bb15d1b78260b79cb965e03167c/-/horizon-files-prod/ed/picture/qj4r2725/7500b97723f6d5ddc25ee089b38de9913ef308c7.jpg
Neuf,Autre,2022,"Ouakam,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/35deb4fdae4147cf8c10b3344bf6774f/-/horizon-files-prod/ed/picture/qwezqkx4/ab12cf2273e9cfa818451ba0059b6946bd0f3377.jpg
Neuf,Autre,2023,"Castor,
                                                                                Dakar",31 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ebc03d71c0c35e26e221dce5906812db/-/horizon-files-prod/ed/picture/qv4egxq2/a894b99ea185728e1991c3748d68b679b90d60d7.jpg
Neuf,Bajaj,2023,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5316c1697f3a858a2a0a5fb65096011e/-/horizon-files-prod/ed/picture/q9m98wzj/4d33c08150299d644509fd46f8472a42acb827bb.jpg
Neuf,Autre,2020,"Castor,
                                                                                Dakar",595 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e123de53e7ee6390e33af2d0d8bbd0e8/-/horizon-files-prod/ed/picture/qv4eeewg/038efd4898ba0c1e593350bfcac013dbf3effb23.jpg
Neuf,KTM,2020,"Castor,
                                                                                Dakar",580 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8266afc7117d1469e431e6b6ab47479a/-/horizon-files-prod/ed/picture/q785jvxx/a007d7ee0e466346369c02d776bb07a98b1054f3.jpg
Neuf,Autre,2023,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ea0ee19c825c8f430befce52a4f36a03/-/horizon-files-prod/ed/picture/qpd6g65m/6dd62eb0f5465a71bda5ae50c19e1842bd00a1b8.jpg
Neuf,Autre,2023,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d337112b55733f6c95f86404afb3ffb/-/horizon-files-prod/ed/picture/qgq9p4gr/3de433507c6208cdb046cf52be0e36e19935426a.jpg
Neuf,KTM,2023,"Castor,
                                                                                Dakar",460 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0119810018dd0fb328e3534fc1bd8b2a/-/horizon-files-prod/ed/picture/qwe2gnzk/46b4a33691b2b7b1f60f3c7b9c627eb040bbcc35.jpg
Neuf,Autre,2023,"Castor,
                                                                                Dakar",12 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0375d0a37485a046d5c225a521d09d42/-/horizon-files-prod/ed/picture/qv4e9wjm/5d07887532f9a1f3da867e00175473df4d0b5af3.jpg
Neuf,Autre,2023,"Grand-Dakar,
                                                                                Dakar",305 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/01ad4529f59adfb9cd59583819046ee7/-/horizon-files-prod/ed/picture/qv4ewnjj/ff6f0abf610cc7afeda7c80d200fc47a2e800620.png
Neuf,Autre,2023,"Ouakam,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9fb4719239b38c4d76a94d58dd3ab217/-/horizon-files-prod/ed/picture/qgq95er2/2181409588d31a834908daec8f4a47326324447a.jpg
