etat,marque,annee,boite_vitesse,adresse,prix,image-src
D'occasion,Land Rover,2016,Automatique,Parcelles Assainies,9 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8ede9c71f1ecee977ce490f6e54749f4/-/horizon-files-prod/ed/picture/qpdmxd64/21fea59bf2a24e51259b99c53c78ec6aef265643.jpg
D'occasion,Kia,2015,Automatique,Médina,5 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0796b81a4c4fd58c06cdc6eb14416cdd/-/horizon-files-prod/ed/picture/qq42m40v/a8449209a73594c3f3662716ab319c98c91b5103.jpg
Réconditionné,Mercedes-Benz,2017,Automatique,Almadies 2,13 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/df1877deddcf5a351631da53b0635449/-/horizon-files-prod/ed/picture/qenv00p5/e3025b22b8a8aefc7052e3ddc38d64f7d7c89282.jpg
D'occasion,Mitsubishi,2016,Manuelle,Thiaroye,6 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8e20177461eb358116f033dfbbf57e90/-/horizon-files-prod/ed/picture/qde7vpdj/d39590f3f7d32ab5351f6a0fe16b32b6e75a3608.jpg
Venant,Chevrolet,2018,Automatique,Parcelles Assainies,6 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/be3b8d2866c6a6c1a7fd07ae219200ad/-/horizon-files-prod/ed/picture/qj4qnrv5/030c9bf1566de16cdd479bcd1958a7c399d0085a.jpg
Venant,Nissan,2017,Automatique,Sicap Liberté,8 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b410387cfe28520f827858cfe1af86be/-/horizon-files-prod/ed/picture/q2j040jg/bf83c1d3608d62959c26829bc3445bf1d487aefa.jpg
D'occasion,Ford,2015,Automatique,Keur Massar,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/85f5d08596054add0968b6d8c4aa75e9/-/horizon-files-prod/ed/picture/q44nzx9z/66d63b7b2a17b9e955c3a1f68271fc384f2ebf9e.jpg
D'occasion,Nissan,2014,Automatique,VDN,2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f95e3ab8bdc2b9c7bbaa3d8373edd9fe/-/horizon-files-prod/ed/picture/qngp49px/877d49564cb536b122de787ef67a33066c8b1f63.jpg
D'occasion,Mazda,2015,0,Sicap foire,5 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ecf7e9116fa47ee7ec57db41e894d995/-/horizon-files-prod/ed/picture/q6xdgnd8/56deadb655cef91def708288024e3c12e44b1881.jpg
Venant,Peugeot,2019,Manuelle,Guinaw rail,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/963374047e1a8f337f017b301d6a2b57/-/horizon-files-prod/ed/picture/qwepdggd/d61fd0c2c4c6f76d644421a6894bc348c6b7c5da.jpg
Venant,Mercedes-Benz,2017,Automatique,Biscuiterie,25 750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/adc542e498862235e47b4334b7dff595/-/horizon-files-prod/ed/picture/q9mjp56n/476255c95701f315cca093ec21172d566db303c6.jpg
D'occasion,Hyundai,2014,Automatique,Mbour,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b3d5ea6e710f1e7de93f7c723cf6da9c/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/q6xdgr5g/4ec51606471e2286f7eec74b363ce9b01de9d7d0.jpg
Venant,Mazda,2016,Automatique,Ngor,8 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6ca7759b683647dc87e6036afd617b0a/-/horizon-files-prod/ed/picture/qde75dp0/ac7766f70e790ccd2045906ad6cb70777f3b2361.jpg
D'occasion,Renault,2010,Manuelle,Point-e,2 250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e4a28bd4b8b190c799f76e4cff16f5b0/-/horizon-files-prod/ed/picture/qde7vk74/6fa7acf136a9f8b5b6b38e4e3ac4c55db8d4a9f1.jpg
D'occasion,Hyundai,2014,Automatique,Point-e,5 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5bdb47a9112ab61ca31d9224af5c8354/-/horizon-files-prod/ed/picture/q0g7q8ew/da889d379113539c4dd56c01b1e12a81ab33b22a.jpg
D'occasion,Toyota,2016,Automatique,Grand-Yoff,10 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1cf624653183a3499f3bb1eb36782b74/-/horizon-files-prod/ed/picture/q0g7q8rw/7006e2463efba11caf8da6d0e3a51440f8e42198.jpg
D'occasion,Toyota,2008,Manuelle,Saint-Louis,3 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/68404f33cc49da5ff4b83241f830e1ba/-/horizon-files-prod/ed/picture/q78wk0gq/cf2c135f53da230dd9a19c990bdc8c1660d38803.jpg
D'occasion,Peugeot,2013,Manuelle,Guediawaye,4 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2d5b86e35704b6d89473ba62375cc4e3/-/horizon-files-prod/ed/picture/qrz8gj74/64259296b8c50f527ad6d8ab30067f9a8b8b4600.jpg
D'occasion,Peugeot,1980,Manuelle,Bakel,1 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1bdac1254dd2c1d9b290414bdd9d7404/-/horizon-files-prod/ed/picture/q9mjpn7p/3f1467777c5b3caffadb35c7d79c3930cf7a78dd.jpg
D'occasion,Toyota,2008,Manuelle,Biscuiterie,2 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f82d35cdcbd4c33c50ff629a66330c81/-/horizon-files-prod/ed/picture/q9mj7pkv/9922105b5606746d71df7780dca43a283b9d9e68.jpg
D'occasion,Hyundai,2021,Automatique,Hann maristes,20 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/65f27551484aa1f98350d8c9a132e6cb/-/horizon-files-prod/ed/picture/q44nx42m/7ec20bd1dd1dea42cd57101bf06ad58a826dca25.jpg
D'occasion,Audi,2021,Automatique,Liberte 6,27 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b480f4c57358aa05fff7be890a54f5f/-/horizon-files-prod/ed/picture/q0g7q5m8/3158c6c1f4f4a5f14a006d83cf940b0016aa8c82.jpg
D'occasion,Ford,2016,Automatique,Colobane,6 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8789d55f2a67ec7285d7f38caba7e39e/-/horizon-files-prod/ed/picture/qxjp5gw2/9b8599b274a8cb201a1d1fe6d5c0c2d09d3092f8.jpg
D'occasion,Mazda,2017,0,Avenue Bourguiba,9 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fb4877ae5e00493b2ee109968c6bf105/-/horizon-files-prod/ed/picture/qxjp5zdm/67ff617055f3308b49c9582c9d4c7ba81bcc028b.jpg
Neuf,Mercedes-Benz,2020,Automatique,Zac Mbao,33 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/53c1ff5dde42b97407b4a2dc1f98c0a2/-/horizon-files-prod/ed/picture/qkr84epx/cb489ce07ea20bdf0be40350e28ff50bfbb6907c.jpg
Venant,Citroen,2017,Manuelle,Parcelles Assainies,5 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/859ca7559293dfb09ad2e3ffe94a5080/-/horizon-files-prod/ed/picture/q6xdgm7d/b9a898d47871d32b437f7d39b7f0a9bd5a8890e0.jpg
Venant,Citroen,2016,Manuelle,Hann maristes,5 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1329b5617c390f9ff13234db8ccf06cc/-/horizon-files-prod/ed/picture/qj4qn7wg/82f5a6586d5b6e01b892e82754e1655ceab63b62.jpg
D'occasion,Ford,2017,Automatique,Thiès,5 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f047b2f24b4fb25bbed892e510ab7b5d/-/horizon-files-prod/ed/picture/qwepvw8g/b89b0f58c3824275b8e3c0b5ca5ff70f8fc0449d.jpg
D'occasion,Peugeot,2010,Manuelle,Pikine,3 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e87cc9f1a47728faa455d43454811f63/-/horizon-files-prod/ed/picture/qde75z0r/068ce923b85476a335bc5d42802319542ece93b2.jpg
Venant,BMW,2015,Automatique,Liberte 6,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f944f0b381019459c2842e109624a82/-/horizon-files-prod/ed/picture/q9mjp2np/1bf1adaed277469d2d86026323d439c391a8a703.jpg
Venant,Mercedes-Benz,2016,Automatique,Almadies,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d19f0eae5c7a4f2f469f3b5f7a3d1d3/-/horizon-files-prod/ed/picture/q9mjp2rn/52407b591e999d417be2692d3df5c8652c19395f.jpg
Venant,Mazda,2017,Automatique,Liberte 6 extension,10 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/179c11bfb060f24154432815fdc9de15/-/horizon-files-prod/ed/picture/q44nx9dm/9fb1d703d4e805391414d401f39207ccb89e5783.jpg
Venant,Peugeot,2016,Manuelle,Parcelles Assainies,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7201e3648e1784bc794fcff39d8f8c21/-/horizon-files-prod/ed/picture/qrz8gw5m/bd4102ff11f8e5fde48d8eac4b13ab8efebeebfa.jpg
Venant,Jeep,2020,Automatique,Avenue Bourguiba,48 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4d1468c15129c88467c59596a5ada11d/-/horizon-files-prod/ed/picture/qm5gze9g/f6c5e85a5029b494e31290ba0a5a89ea2dc88796.jpg
