détail,état_tv,adresse,prix,image_lien
,Neuf,"Guediawaye,
                                                                                Dakar",80 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1aadfc8553081fd97d85b86b1dd9443e/-/horizon-files-prod/ed/picture/q0gkknm8/59816082a7a9d521fd27538f4f9661794eff4945.jpg
,Neuf,"Plateau,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/35d6e6cb3456443a9a43a21176a39776/-/horizon-files-prod/ed/picture/q0g7rxz6/54cbb4d617f51c729f316bff89b7530b8300c5c8.png
,Neuf,"Sicap Liberté,
                                                                                Dakar",38 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/483d1e329263469208ca55c5fa9f99a3/-/horizon-files-prod/ed/picture/q56ppxpp/ef1df155fd5e0863423b0bf415b88dd4ca9c4839.jpg
,Venant,"Ouakam,
                                                                                Dakar",3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/88520efaf7308bc331f581e6a678b960/-/horizon-files-prod/ed/picture/qwerrzpd/3c39e971d88301784beed10d741c843a21d370d4.jpg
,Neuf,"Hann maristes,
                                                                                Dakar",58 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/92ffef59b69ae8756a531edfd969429c/-/horizon-files-prod/ed/picture/q0gkk2z8/fce8f1a3737240b5eaf45175455a2f9169d276bb.jpg
,D'occasion,"Patte d‘oie,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6d194cde682c8df64e6b27cbbec19d83/-/horizon-files-prod/ed/picture/q44554mz/9ee633448bbb1553cee191d10e2481b1d01a5553.jpg
,Venant,"Patte d‘oie,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/17885c1672b1767e1dafcb54cfd803e2/-/horizon-files-prod/ed/picture/qq4zz48w/70f65a59d55c284b7420129b956fa69e3ef6f837.jpg
,Neuf,"Hlm grand-yoff,
                                                                                Dakar",180 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3065cda0006ea3437b0eb44f950b1ba0/-/horizon-files-prod/ed/picture/qv4dd4q5/e76d17c6d8ea4f27ebb00c6de41a4cb580783662.jpg
,Venant,"Mbour,
                                                                                Thiès",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4a5230ff58ded651f057b2de5c83ddb7/-/horizon-files-prod/ed/picture/q6xqqx7v/f7b76ae0c07d849523f757149ec2307a9f13f4a5.jpg
,Neuf,"Hlm grand-yoff,
                                                                                Dakar",3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c3c500cc6296dee9c866f1f22b80703a/-/horizon-files-prod/ed/picture/q9mkj4wv/c60b3952f4bf27a59208581ab9e1c30e8f82d3c1.jpg
,Neuf,"Patte d‘oie,
                                                                                Dakar",8 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d9eb9878fc0198cf0f587d77efbbdec3/-/horizon-files-prod/ed/picture/qvqv6w2/d100cfa94b7dd7b93a6c464b0177d2311baf59eb.jpg
,D'occasion,"Cambérène,
                                                                                Dakar",650 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5804469e2b187055cd8dee79f49cd79/-/horizon-files-prod/ed/picture/qenrvm69/e3966c038a460c20cfd9ec273c2a6be87b744530.jpg
,Neuf,"Grand-Dakar,
                                                                                Dakar",60 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/153f8559245c20f5f78f39deffc5c0cc/-/horizon-files-prod/ed/picture/q0gw426w/8673bb26658f6bb331ea3774faaacd07597126c1.jpg
,Neuf,"Grand-Dakar,
                                                                                Dakar",15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f30743a63204075f90d7169f22d98ef8/-/horizon-files-prod/ed/picture/q566jgx5/db3665c66357413b17c0c11b4c1f7b774b3de90e.jpg
,Venant,"Ouest foire,
                                                                                Dakar",80 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7cbbd1854eef5addcb35db0bf9898ea1/-/horizon-files-prod/ed/picture/qxj8pndm/588d93b9e5246c79bd465f3107cbfdd77ddc5a6c.jpg
,D'occasion,"Médina,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3828786cce50c3291ca41a80d10129c7/-/horizon-files-prod/ed/picture/qgqwdxd4/cd8fd5aa47786460411a729f9c8acd31f1b08002.jpg
,Neuf,"Liberte 3,
                                                                                Dakar",300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc79d5cc2a3592965d74381e314c67f4/-/horizon-files-prod/ed/picture/qm50g4m6/986778060a510946da9bff7c99960e0aac73a1cd.jpg
,Neuf,"Liberte 5,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a5daea31852348cf8aa97328324dcfb5/-/horizon-files-prod/ed/picture/qrzr870j/cdf1b50d970fa77f54a6a34276e0a8cac2bef020.jpg
,Neuf,"Grand-Yoff,
                                                                                Dakar",380 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/735a5532f14f71a540e547be4851f577/-/horizon-files-prod/ed/picture/qpdgm87r/47756b98bdaa1eac37476c50a6205ea3a7156917.jpg
,Neuf,"Liberte 5,
                                                                                Dakar",40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e892092da22c514e11fa4f26d0be2f03/-/horizon-files-prod/ed/picture/q6xqd5zg/32141b34a449490be7a37d27e3f5ca1426c2288a.jpg
,Neuf,"Médina,
                                                                                Dakar",45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/10b9c6ab69db025dfb6d19c11dbe7e33/-/horizon-files-prod/ed/picture/qrz24708/3ca4f8ae65a957ec976a033ae9c07a12aba3803b.jpg
,Neuf,"Sud foire,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/616e051e138e19e877401ac0b53b133f/-/horizon-files-prod/ed/picture/q9mjzqn6/ca24b6f3be51a15957fe3195e4c4801943c85067.jpg
,Neuf,"Hann maristes,
                                                                                Dakar",7 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aac787c0e6f0f06268b9b1867d8a2cb8/-/horizon-files-prod/ed/picture/q8vm45rn/b7e5dc18f031d6dd28e54f9b59c9d2a3382d20c5.png
,Neuf,"Castor,
                                                                                Dakar",12 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d557e2e2cefc52222cc1f0cd5f5aa855/-/horizon-files-prod/ed/picture/qv4dwpn5/c42fd1bc1dd5cf7576bf8136e3fb8ee70794f200.jpg
,Neuf,"Guediawaye,
                                                                                Dakar",30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bd3f5e9c3ddc431483dc463f137eb38a/-/horizon-files-prod/ed/picture/qm5g559g/83b7b1d58e9caff51e847c32f805f11a3bd24e94.jpg
,Neuf,"Médina,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5893ab59329474a2d19ffe9702436d18/-/horizon-files-prod/ed/picture/qj46r0x6/ca330d6156f30043cc6f68ebb90b73a758fdf7db.jpg
,Neuf,"Médina,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0b4388a333c3e8e71601d5ef391c88c9/-/horizon-files-prod/ed/picture/qde9kqqg/51afe8bf6907d751b7094631dfcc462eff702e8d.jpg
,Neuf,"Castor,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4e5d283c8651f144987d68c56ab7a0f2/-/horizon-files-prod/ed/picture/q6xqkjr4/f034be59406d04da345f5bed3437fcd343f6270f.jpg
,Neuf,"Castor,
                                                                                Dakar",23 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5ce79f4a4b15ebf5fa6ee65e1c5070b4/-/horizon-files-prod/ed/picture/q0g7kpqz/1064be84cba1cb1ec7f5d296478d6eb2082c3721.jpg
,Neuf,"Parcelles Assainies,
                                                                                Dakar",30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4534108fdb9c24db184ddc18b478a493/-/horizon-files-prod/ed/picture/qzvp7d66/9a7cbc50455720fb6f20cb0f77d776e07b566f36.jpg
,Neuf,"Grand-Dakar,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/94cae65dfa991ea6e4a350eb474b9fd4/-/horizon-files-prod/ed/picture/qxj6q7zm/ebc17c7f0ab32cd1626fd6922d27eab048597174.png
,Neuf,"Grand-Dakar,
                                                                                Dakar",30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4f3929c62b10758fb1e98c36cdd30a9d/-/horizon-files-prod/ed/picture/qkr7gnex/a77ba0bd1b820c6bf16a7e61c96f424000942b70.png
,Neuf,"Hann Bel-Air,
                                                                                Dakar",15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c100e905fcfc0e39502cdf392a0f4ea1/-/horizon-files-prod/ed/picture/q56pxqq6/147012309a299fea4437e0675b518a6d0315be27.jpg
,Neuf,"Dieuppeul,
                                                                                Dakar",200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fe1b7d9db1cc65a34aa003fc43974079/-/horizon-files-prod/ed/picture/qxj82eqm/47afd1e6e78c3e1474197ddd593d00b9f0e18a93.jpg
,Neuf,"Sud foire,
                                                                                Dakar",44 998 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/45c7a405f7295552eb330cc35bcd7c33/-/horizon-files-prod/ed/picture/qv4e6px2/7594c4ccf443a2da415f455949f7a5e5c753dbaa.png
,Neuf,"Patte d‘oie,
                                                                                Dakar",10 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fcb19e73e0e0e2e3e59a3cd15ad98c7d/-/horizon-files-prod/ed/picture/qx95v44/b1dd23936087228bf16a8fe50bbd89eac7e9cb0d.jpg
,D'occasion,"Plateau,
                                                                                Dakar",300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1da9c0663024e0759f1be6592a2b23bd/-/horizon-files-prod/ed/picture/q0gkw5jm/4e4c1a45b465ed045945614038cef843f76ed92c.jpg
,Neuf,"Dieuppeul,
                                                                                Dakar",90 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e6787bb9edb8212c463c40bed27e829e/-/horizon-files-prod/ed/picture/q78j59eg/ddeff2235f7e654361d5899efed8b4ccf7716b32.jpg
,Neuf,"Dieuppeul,
                                                                                Dakar",200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/000231d95a6a80e0800478646f35080a/-/horizon-files-prod/ed/picture/qde9k4v7/1a553fe0efc4827f8ec3f67b291f9564d988773c.jpg
,Neuf,"Dieuppeul,
                                                                                Dakar",450 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/abb240870ac1ad9d904b5f895e95fdff/-/horizon-files-prod/ed/picture/qkr7g24m/63a917a9375b2d62ec838baf86e8851f1e95d9ad.jpg
,Neuf,"Dieuppeul,
                                                                                Dakar",600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2da946cf65cd8d3d0738c22655472c0f/-/horizon-files-prod/ed/picture/qxj82xr0/d1b3844074cd00c358de04f8c88fb242dd66505f.jpg
,Neuf,"Dieuppeul,
                                                                                Dakar",700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/68cc384b28e292951442f405f5d4715f/-/horizon-files-prod/ed/picture/q8vm5n67/56653033340b71041001889cab4592439db3546e.jpg
,Neuf,"Thiès,
                                                                                Thiès",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bd5bbe4d06a4ef7096cf6d5016608356/-/horizon-files-prod/ed/picture/qkr7g0m5/150ea9abba255206d518f8ee04be0d4fd103b131.jpg
,Neuf,"Hann maristes,
                                                                                Dakar",22 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b8ce0aa90855eb42acbefe815cd9794b/-/horizon-files-prod/ed/picture/qzvpq65n/ef0e2486cedecf8e3dbc386d3171654e8c4afd7c.png
,,Dakar,45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4fe3f6d24248913d46d43d2ec7e1d6f1/-/horizon-files-prod/ed/picture/migrated/q8pg95z/9e2c2fd546a8a44664b4c247f0962963b70ca32b.jpg
,Venant,"Nord foire,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f276726569bc36fcd435460437a0f9ff/-/horizon-files-prod/ed/picture/qzvpq55q/0f3d6f31bae169ad134466c0675846d24f77f900.jpg
,Neuf,"Parcelles Assainies,
                                                                                Dakar",115 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cba761c13a3f60711e9240442844caec/-/horizon-files-prod/ed/picture/qng9x06w/25e4464730aec29e1b20003d8b1fc16b7c5808f7.jpg
,Neuf,"Castor,
                                                                                Dakar",20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb61053fe0ed39e35f665778f84b3a0a/-/horizon-files-prod/ed/picture/qgq9n46m/8d5996fbfbb7eb65bd6ee9bf46724c6281126ca2.jpg
,Neuf,"Castor,
                                                                                Dakar",15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e8320170348c960243ee10715a722d8e/-/horizon-files-prod/ed/picture/q0gwd60x/9fe3ec5557fc9cdd7728e240ec158184a19bf78e.jpg
,Venant,"Thiaroye,
                                                                                Dakar",100 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a103e12a6365c64f41520902c10c4c92/-/horizon-files-prod/ed/picture/qm50prd9/4deff7a3deb3cf7ac4b7e0c93208d3007aacee23.jpg
,Neuf,"Hann maristes,
                                                                                Dakar",72 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/619e1f463f9f46525367069750fc2991/-/horizon-files-prod/ed/picture/qde7pqw2/8574871894651fea8e0fb47698ad27fc57cd233e.jpg
,Neuf,"Plateau,
                                                                                Dakar",35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/37715014da73fba8e68977faeab530ab/-/horizon-files-prod/ed/picture/migrated/qzzx7jn/86db580a52d4c9255dbed78b7e403d1c99436230.jpg
,Neuf,"Rufisque,
                                                                                Dakar",35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/845a24fff9097057268b388df24e8070/-/horizon-files-prod/ed/picture/qm50rxnd/695d17bd31a099be9b557be1d36e5f7c0f1f10a2.jpg
,Neuf,"Castor,
                                                                                Dakar",10 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c604402b57da4b87dc59f88553dff62/-/horizon-files-prod/ed/picture/qkr5557j/c87435018d07a612dd52244461b5e066a8e11bdb.jpg
,Neuf,"Plateau,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/40e5102f32f5c9b849c3c755be31175e/-/horizon-files-prod/ed/picture/qde9eme7/f0279ff7c99c72da78a458e303e2f957d376e27e.jpg
