details,etat,adresse,prix,image-src
Détails,Neuf,Plateau Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd468e7953b0f44a4fd9682cf8ae9469/-/horizon-files-prod/ed/picture/qm5057jw/a59b3ff4b2cbe395b29eb313711026cc3d4b6aee.jpg
,Neuf,Plateau Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/41aff437e927a6138dc0eee62d28e7b9/-/horizon-files-prod/ed/picture/qde9eme7/f0279ff7c99c72da78a458e303e2f957d376e27e.jpg
Détails,Neuf,Castor Dakar,10 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3321c7a1e0bbb730ac36376627d6ac1d/-/horizon-files-prod/ed/picture/qkr5557j/c87435018d07a612dd52244461b5e066a8e11bdb.jpg
,Neuf,Rufisque Dakar,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/821c46535060b44c956a9ce2f026c638/-/horizon-files-prod/ed/picture/qm50rxnd/695d17bd31a099be9b557be1d36e5f7c0f1f10a2.jpg
Détails,Neuf,Plateau Dakar,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f05b3bb42ba41b18dc88332dbae08828/-/horizon-files-prod/ed/picture/migrated/qzzx7jn/86db580a52d4c9255dbed78b7e403d1c99436230.jpg
Détails,Neuf,Hann maristes Dakar,72 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b04c94dc340ae5eab73bccc0338054fb/-/horizon-files-prod/ed/picture/qde7pqw2/8574871894651fea8e0fb47698ad27fc57cd233e.jpg
Détails,Venant,Thiaroye Dakar,100 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ea38a955ea360e5ed3f1fb4575e56921/-/horizon-files-prod/ed/picture/qm50prd9/4deff7a3deb3cf7ac4b7e0c93208d3007aacee23.jpg
Détails,Neuf,Castor Dakar,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9deaae59bd2597aa74b1a98603379667/-/horizon-files-prod/ed/picture/q0gwd60x/9fe3ec5557fc9cdd7728e240ec158184a19bf78e.jpg
Détails,Neuf,Castor Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e72e88b76b63bcfd5316df52288e4332/-/horizon-files-prod/ed/picture/qgq9n46m/8d5996fbfbb7eb65bd6ee9bf46724c6281126ca2.jpg
Détails,Neuf,Parcelles Assainies Dakar,115 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/566670a5297b41fa2f7bcc43fdcf5f8e/-/horizon-files-prod/ed/picture/qng9x06w/25e4464730aec29e1b20003d8b1fc16b7c5808f7.jpg
Détails,Venant,Nord foire Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b8c66fcd205093ec407b6e305c5accf/-/horizon-files-prod/ed/picture/qzvpq55q/0f3d6f31bae169ad134466c0675846d24f77f900.jpg
Description,,Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b0785f24b5056bf509c6fb46e96a38f/-/horizon-files-prod/ed/picture/migrated/q8pg95z/9e2c2fd546a8a44664b4c247f0962963b70ca32b.jpg
Détails,Neuf,Hann maristes Dakar,19 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b718e3541471ebcd158b9d9fecf248c0/-/horizon-files-prod/ed/picture/qzvpq65n/ef0e2486cedecf8e3dbc386d3171654e8c4afd7c.png
Détails,Neuf,Thiès Thiès,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c6443bd6800a4f52317d8464627abf2/-/horizon-files-prod/ed/picture/qkr7g0m5/150ea9abba255206d518f8ee04be0d4fd103b131.jpg
Détails,Neuf,Dieuppeul Dakar,700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/60d0599750070de84f676c4b54c1bf5c/-/horizon-files-prod/ed/picture/q8vm5n67/56653033340b71041001889cab4592439db3546e.jpg
Détails,Neuf,Dieuppeul Dakar,600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8fe49b8b96b6971d4b5cdd73d574b1ba/-/horizon-files-prod/ed/picture/qxj82xr0/d1b3844074cd00c358de04f8c88fb242dd66505f.jpg
Détails,Neuf,Dieuppeul Dakar,450 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4a2dde58cd34b5e3a890ceb1b90de1b0/-/horizon-files-prod/ed/picture/qkr7g24m/63a917a9375b2d62ec838baf86e8851f1e95d9ad.jpg
Détails,Neuf,Dieuppeul Dakar,200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c6a5286e762c94ab0a6cfd0c3d7ef644/-/horizon-files-prod/ed/picture/qde9k4v7/1a553fe0efc4827f8ec3f67b291f9564d988773c.jpg
