details,etat,adresse,prix,image-src
Détails,Neuf,Grand-Dakar Dakar,60 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d90b40186a8fe34b1afb6203a12dbd78/-/horizon-files-prod/ed/picture/qendmvp4/47e36a6fbcc6f2098cb3ddc59a64f86b0f25f0f4.png
Détails,Neuf,Sicap Liberté Dakar,9 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce737377c574cbc983242d070a588142/-/horizon-files-prod/ed/picture/qv4p62pg/5127d552a80b588358a8745d9be6fd235ec5baf6.jpg
Détails,Neuf,Sicap Liberté Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/000ae825a5639a9adbb6dae58e8539c8/-/horizon-files-prod/ed/picture/qngdez9z/66c079258c9f1a6662f7c8ce12e23fd48fb3fd63.jpg
Détails,Neuf,Ouakam Dakar,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/496d4ff65db8f305111b9a0d6475f658/-/horizon-files-prod/ed/picture/qm5r8dkm/0c2c31280fc799a7a1f0b4f47a1eaf2a9ef3c504.jpg
Détails,Neuf,Grand-Dakar Dakar,50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2498f71be500e38c3006289e312755b4/-/horizon-files-prod/ed/picture/qjv0n5r/e4a2da62631e76a0050d6f551d03f8cc168db03b.png
Détails,Neuf,Ouakam Dakar,12 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/39b9ebc08d299774791fce091e44819b/-/horizon-files-prod/ed/picture/q8v50wr7/2a132d53304b5489cafeeb9465a132833d51402c.jpg
,Neuf,Hann maristes Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/896968154f729228ee6dc87b4294c0f1/-/horizon-files-prod/ed/picture/q44d20n9/b9c44881b3cac9e92e894190fd211bd7734a4a5e.jpg
Détails,Neuf,Grand-Dakar Dakar,19 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b7c4873430582ad034721b96ecbfec4/-/horizon-files-prod/ed/picture/qpdpkjxj/635a1e447b63bfa24f18a5d906a925b8db180458.png
Détails,Neuf,Hann Bel-Air Dakar,45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c2d86f9f612d7aa2cd9e0a89b1aec68/-/horizon-files-prod/ed/picture/q6xkkwjz/80409286eee1f7253721759bde351f7a0b562a17.jpg
Détails,Neuf,Liberte 6 Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ff23d6dfa691271b466193bfdc06790c/-/horizon-files-prod/ed/picture/qzvdpgnq/9610eba8bac11d9d4297fc781d35800fbb2f957e.jpg
Détails,Neuf,Hann maristes Dakar,40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e094e98c2eef4684bdceaff9a29f4c74/-/horizon-files-prod/ed/picture/qpddqvv2/c78a4016f97d5800b86c4f53f2876d51b32b7852.jpg
,Neuf,Hann maristes Dakar,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/17b94579831e364358d7de67c5328eff/-/horizon-files-prod/ed/picture/q2jr0kne/06383f7faebb32e20d65e26d74e3adffd037beca.jpg
Détails,Neuf,Grand-Dakar Dakar,60 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/605fcf0d20c0eb8e60059a557b10eb5c/-/horizon-files-prod/ed/picture/qdeej028/04826ca78a32c4a30f92aa6eb545609897dde919.png
,Neuf,Castor Dakar,235 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9508d12ffc361a2dc9229cd82315d7b5/-/horizon-files-prod/ed/picture/qwe2ppvp/f45e49d79f7921442a23acf9e7c4781b6bafd0dd.jpg
,Neuf,Castor Dakar,8 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b591fa27af01b866c4ddb895560364ab/-/horizon-files-prod/ed/picture/qxj26ejw/d323729f28d961422bd8aa88cee1a3cd9b763881.jpg
Détails,Neuf,Castor Dakar,39 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ade2b88857f529da5221b0cde45513e2/-/horizon-files-prod/ed/picture/qv4e4jpx/b2d415de53558826066dd39918c6992e5845efbe.jpg
Détails,Neuf,Grand-Dakar Dakar,7 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9a9fc93d202e119defb2e476d1924b34/-/horizon-files-prod/ed/picture/q2jjdnw6/7c075452a1bac790670fd59d8f65b92de4458b0a.jpg
,Neuf,Hann maristes Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a62cb2a4375f30f88acc40e55810664c/-/horizon-files-prod/ed/picture/q7876rkx/8f408a0b0d18916ac53fcd4a092b186bbeb288fb.jpg
,Neuf,Hann maristes Dakar,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3446347caf9af3002563c652a6818e7c/-/horizon-files-prod/ed/picture/qj4j5zqd/e3017e7f0c463cbe08a713d9a53b25df8c0e28a1.jpg
,Neuf,Hann maristes Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d93de26b4186dd97267e9fc4af422643/-/horizon-files-prod/ed/picture/q4442jrp/43181e5694d3feeb3da2be2c27e73717dad4257c.jpg
Détails,Neuf,Hann maristes Dakar,28 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c1556332a95f322263c9416720f55216/-/horizon-files-prod/ed/picture/q2jj2zk6/7b00ba2782290a7ae3600665ce426b59d1640075.jpg
Détails,Neuf,Hann maristes Dakar,95 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/70b9d48cdcedeedfbe7d039f00f02dce/-/horizon-files-prod/ed/picture/qennje62/ab26fb564b97d61721e56c172d92e9065d8f2e68.jpg
,Neuf,Hann maristes Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/066924d93694340bfe004c6f38ea39cd/-/horizon-files-prod/ed/picture/qq44mzj6/aea5d56c330b97ec29cf1c9e6337983e7bab0dca.jpg
,Neuf,Hann maristes Dakar,80 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d1432f17bfef34fdc1b2089073834401/-/horizon-files-prod/ed/picture/qwee4nrm/394eb326de9289420ea38aefa879994d49049a99.jpg
,Neuf,Hann maristes Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8cf89c0f783c19e0c98705e6ef0debc6/-/horizon-files-prod/ed/picture/q0gw70m8/0a8ae3f0c4895fbdaed90fa33556b9dc4c53a129.jpg
,Neuf,Hann maristes Dakar,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/92f131735f3dcc1dd3180f3a23ddac9a/-/horizon-files-prod/ed/picture/qdewk0g8/a0d5050a513d1152dc2b7be5f77621a3bac55ae2.jpg
,Neuf,Hann maristes Dakar,145 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c0cf63308de809418ae487daca1475b5/-/horizon-files-prod/ed/picture/qngxwnjz/95651b3c2a65a2d3c63a12a41d5b9bd3726942bb.jpg
,Neuf,Hann maristes Dakar,50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6d9df2933392f25fbdfd6279f55a1773/-/horizon-files-prod/ed/picture/q0gwnx8x/e24d2ec7fc8ef5fb55e3bc3a0aab952fde1ccd5a.jpg
Détails,Neuf,Ouakam Dakar,12 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8e9c23f6ca1b9b5a7d83f60160d3db5f/-/horizon-files-prod/ed/picture/qj4r27w5/e29bf1cb5c942cc602c128cb108dbe542bb4181f.png
Détails,Neuf,Castor Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e69f51ec4fe72837a06fa2523914dadc/-/horizon-files-prod/ed/picture/qpd6nm9r/38702dd601fc445ee932797ec7989224294b2d23.jpg
Détails,D'occasion,Ngaparou Thiès,69 999 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e69f817bb8c85b158da92f622d945459/-/horizon-files-prod/ed/picture/q9m9dk80/2f5d0f8a87af3e114287cba9d7224a0d7e8888f4.jpg
Détails,Neuf,Ngaparou Thiès,49 999 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cfc7f484ce305943f203d6a4e2002a82/-/horizon-files-prod/ed/picture/qq47vzd7/b510134e8ee001d7dcc8b974fe67806d703363f1.jpg
,Neuf,Hann maristes Dakar,40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d16f167bd11c8b8cc95964306e47f324/-/horizon-files-prod/ed/picture/qen5z5vz/ae78e42be42a9cd5fc4ef2373a2ff11dde06ba20.jpg
Détails,Neuf,Dakar Dakar,12 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7ec4e0b3c937a7785a538521459b4749/-/horizon-files-prod/ed/picture/qzvd5kex/c3bb529bb54f57c0c86fce08c131b1dd2977945e.jpg
Détails,Neuf,Patte d‘oie Dakar,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b96132e81af066e9d6a81cfc9811f9a7/-/horizon-files-prod/ed/picture/qv4e0d28/d1a71acf846b81c70a4088b0e1f5ab7f43f3f94e.jpg
Détails,Neuf,Grand-Dakar Dakar,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b5c0d50d8a7fdcdd92f1925259b25353/-/horizon-files-prod/ed/picture/qngx8dgw/15b73f34c5c6b8f2495839f497060caf9945dbea.png
Détails,Neuf,Sicap Liberté Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/97649497d571c24a56df5385d74a9a6d/-/horizon-files-prod/ed/picture/q7856g7n/468770911ed0a1b14e81042b4f37a0455a4c6336.jpg
Détails,Neuf,Sicap Liberté Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/512d466a9eedd07f4b46a6a458a8f31f/-/horizon-files-prod/ed/picture/q6xkj584/698a6bc8ee399dc9068ada65ed8198f5dfb5c017.jpg
,Neuf,Plateau Dakar,38 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/45106fab6e130f3604a01579aba15e1f/-/horizon-files-prod/ed/picture/q785z5g8/238174af039fbaa7b5bf7552df8f07538bdc4752.jpg
Détails,Neuf,Castor Dakar,142 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/817d12d603e0c370eafd0510162af629/-/horizon-files-prod/ed/picture/qwe27k5d/11314103a9d32ba8bf1154b6aeb2f89c7d600b63.jpg
,Neuf,Guediawaye Dakar,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ffd6bcf44cf02dd79a783d860ff8c418/-/horizon-files-prod/ed/picture/qzvdmqj6/735a6d63a855876a1195d9fed8fb76fb2940aa66.jpg
Détails,Neuf,Castor Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a7d8b32e0193a3e5a7c0fa620ca828f/-/horizon-files-prod/ed/picture/q9m95dx5/00559d67dd15d97b018b3eba419d2393568d6ae0.jpg
Détails,Neuf,Castor Dakar,19 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0a6642fe256ff7b30c3b725bb363097b/-/horizon-files-prod/ed/picture/q9m9jqqw/4d36ed52dc756ef65816b11598e489f8fd74ab9a.jpg
Détails,Neuf,Médina Dakar,45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b38ef4419098d593080cae0aee8dc6c9/-/horizon-files-prod/ed/picture/q6xk0nd7/f127a7a73c2cc9a16b0a0095ac70b0d4ca1f8d2e.jpg
